,x,y,day,temp_min,temp_max,precip
0,-93.270796852,44.4844142653,1,57.8473,84.9613,0.0
1,-93.2330703167,44.48449748,1,58.4259,85.1599,0.0
2,-93.1953436305,44.4845682337,1,59.2519,85.3889,0.0
3,-93.1576168179,44.4846265261,1,60.1624,85.4956,0.0
4,-93.1198899032,44.4846723572,1,60.7997,85.4918,0.0
5,-93.082162911,44.4847057269,1,61.2177,85.3424,0.0
6,-93.0444358656,44.4847266352,1,61.4285,85.0543,0.0
7,-93.2709218827,44.5114221321,1,58.0886,85.0585,0.0
8,-93.2331779289,44.5115054248,1,58.6726,85.2604,0.0
9,-93.195433824,44.5115762448,1,59.5888,85.4715,0.0
10,-93.1576895925,44.5116345918,1,60.3928,85.6145,0.0
11,-93.1199452588,44.5116804659,1,61.0066,85.6257,0.0
12,-93.0822008473,44.5117138669,1,61.4078,85.4993,0.0
13,-93.0444563826,44.5117347947,1,61.6134,85.2445,0.0
14,-93.0067118891,44.5117432494,1,61.6528,84.8826,0.0
15,-92.9689673912,44.5117392309,1,61.5672,84.4565,0.0
16,-92.9312229134,44.5117227392,1,61.4194,84.0397,0.0
17,-93.9129439399,44.53510267,1,59.6716,88.8011,0.0
18,-93.8751888636,44.5353982366,1,59.7992,88.9991,0.0
19,-93.8374332197,44.5356813242,1,59.8407,89.0659,0.0
20,-93.7996770327,44.5359519323,1,59.7641,88.7924,0.0
21,-93.7619203268,44.5362100604,1,59.5657,88.149,0.0
22,-93.7241631268,44.536455708,1,59.2392,87.3034,0.0
23,-93.686405457,44.5366888747,1,58.8355,86.5249,0.0
24,-93.6486473419,44.5369095602,1,58.5262,86.0766,0.0
25,-93.6108888061,44.537117764,1,58.4846,86.0235,0.0
26,-93.573129874,44.5373134857,1,58.7363,86.2105,0.0
27,-93.53537057,44.5374967251,1,59.1114,86.4155,0.0
28,-93.4976109187,44.5376674818,1,59.5837,86.5333,0.0
29,-93.4598509446,44.5378257555,1,59.7653,86.4845,0.0
30,-93.4220906722,44.537971546,1,59.6884,86.1722,0.0
31,-93.3843301259,44.5381048529,1,59.5416,85.8487,0.0
32,-93.34656933030001,44.5382256761,1,59.0089,85.5362,0.0
33,-93.3088083098,44.5383340153,1,58.6162,85.3239,0.0
34,-93.271047089,44.5384298704,1,58.6462,85.2913,0.0
35,-93.2332856923,44.5385132411,1,59.2555,85.4448,0.0
36,-93.1955241442,44.5385841274,1,60.0222,85.6485,0.0
37,-93.1577624693,44.5386425292,1,60.7385,85.7779,0.0
38,-93.120000692,44.5386884462,1,61.2881,85.7904,0.0
39,-93.0822388369,44.5387218785,1,61.6502,85.6805,0.0
40,-93.0444769284,44.538742826,1,61.8393,85.4567,0.0
41,-93.0067149911,44.5387512886,1,61.8827,85.1389,0.0
42,-92.9689530494,44.5387472663,1,61.8197,84.7651,0.0
43,-92.9311911278,44.5387307592,1,61.7075,84.397,0.0
44,-92.89342925090001,44.5387017672,1,61.6181,84.1075,0.0
45,-92.8556674431,44.5386602905,1,61.619,83.9447,0.0
46,-92.817905729,44.538606329,1,61.7378,83.8928,0.0
47,-92.780144133,44.5385398829,1,61.9299,83.8745,0.0
48,-93.9133661879,44.5621071624,1,59.7505,88.7994,0.0
49,-93.875593655,44.562403006,1,59.8582,89.0981,0.0
50,-93.8378205535,44.5626863588,1,59.8955,89.2227,0.0
51,-93.8000469079,44.5629572204,1,59.8226,88.9339,0.0
52,-93.7622727427,44.5632155903,1,59.6267,88.2395,0.0
53,-93.7244980824,44.5634614681,1,59.2999,87.362,0.0
54,-93.6867229515,44.5636948533,1,58.8916,86.5767,0.0
55,-93.6489473747,44.5639157455,1,58.5729,86.1238,0.0
56,-93.6111713763,44.5641241444,1,58.5269,86.0606,0.0
57,-93.5733949809,44.5643200495,1,58.7952,86.2432,0.0
58,-93.5356182132,44.5645034606,1,59.1973,86.4517,0.0
59,-93.4978410975,44.5646743772,1,59.7209,86.5896,0.0
60,-93.4600636584,44.5648327992,1,59.9667,86.58,0.0
61,-93.4222859205,44.5649787263,1,60.0728,86.4331,0.0
62,-93.3845079082,44.5651121581,1,60.0143,86.0888,0.0
63,-93.3467296462,44.5652330945,1,59.6604,85.8569,0.0
64,-93.308951159,44.5653415352,1,59.4054,85.6971,0.0
65,-93.2711724711,44.5654374801,1,59.4839,85.6985,0.0
66,-93.233393607,44.565520929,1,59.9713,85.7339,0.0
67,-93.1956145913,44.5655918817,1,60.5873,85.8878,0.0
68,-93.1578354485,44.5656503382,1,61.1727,85.9837,0.0
69,-93.1200562032,44.5656962983,1,61.6314,85.9847,0.0
70,-93.0822768799,44.5657297619,1,61.9391,85.8836,0.0
71,-93.0444975031,44.565750729,1,62.1022,85.6853,0.0
72,-93.00671809750001,44.5657591995,1,62.1417,85.405,0.0
73,-92.9689386874,44.5657551735,1,62.0912,85.0729,0.0
74,-92.9311592976,44.5657386509,1,61.999,84.7366,0.0
75,-92.8933799524,44.5657096318,1,61.9228,84.4487,0.0
76,-92.8556006766,44.5656681162,1,61.9121,84.2385,0.0
77,-92.8178214945,44.5656141041,1,61.9831,84.0873,0.0
78,-92.7800424308,44.5655475958,1,62.1002,83.9443,0.0
79,-93.9137890291,44.5891115235,1,59.7819,88.723,0.0
80,-93.875999015,44.5894076442,1,59.8619,89.0575,0.0
81,-93.8382084314,44.5896912625,1,59.89,89.1893,0.0
82,-93.8004173027,44.5899623779,1,59.8309,88.8987,0.0
83,-93.7626256536,44.5902209898,1,59.6675,88.2345,0.0
84,-93.7248335085,44.590467098,1,59.3916,87.434,0.0
85,-93.6870408921,44.5907007018,1,59.044,86.7338,0.0
86,-93.6492478289,44.590921801,1,58.7668,86.3151,0.0
87,-93.6114543434,44.5911303951,1,58.7221,86.2224,0.0
88,-93.5736604604,44.5913264838,1,58.9918,86.3659,0.0
89,-93.5358662042,44.5915100667,1,59.3788,86.5394,0.0
90,-93.4980715996,44.5916811435,1,59.9303,86.6759,0.0
91,-93.460276671,44.5918397139,1,60.2225,86.6956,0.0
92,-93.422481443,44.5919857777,1,60.607,86.5958,0.0
93,-93.3846859403,44.5921193345,1,60.5445,86.3554,0.0
94,-93.3468901874,44.5922403842,1,60.3789,86.2139,0.0
95,-93.3090942089,44.5923489266,1,60.2717,86.1166,0.0
96,-93.27129802930001,44.5924449614,1,60.3718,86.1182,0.0
97,-93.2335016733,44.5925284884,1,60.7583,86.0773,0.0
98,-93.1957051654,44.5925995077,1,61.2119,86.1705,0.0
99,-93.1579085302,44.5926580189,1,61.6558,86.222,0.0
100,-93.1201117923,44.592704022,1,62.0161,86.2033,0.0
101,-93.0823149763,44.592737517,1,62.2638,86.1046,0.0
102,-93.0445181067,44.5927585037,1,62.3957,85.9255,0.0
103,-93.0067212082,44.5927669822,1,62.424,85.6745,0.0
104,-92.9689243053,44.5927629524,1,62.3745,85.3724,0.0
105,-92.93112742260001,44.5927464143,1,62.2856,85.0526,0.0
106,-92.8933305847,44.592717368,1,62.2016,84.7509,0.0
107,-92.8555338162,44.5926758135,1,62.1585,84.4845,0.0
108,-92.8177371417,44.5926217509,1,62.167,84.239,0.0
109,-92.7799405857,44.5925551802,1,62.2049,83.9916,0.0
110,-93.8764049446,44.6164121513,1,59.8427,88.8437,0.0
111,-93.8385968543,44.6166960353,1,59.8584,88.9453,0.0
112,-93.800788218,44.6169674047,1,59.8157,88.6824,0.0
113,-93.76297906040001,44.6172262589,1,59.6995,88.126,0.0
114,-93.725169406,44.6174725976,1,59.5011,87.478,0.0
115,-93.68735927940001,44.6177064203,1,59.2501,86.915,0.0
116,-93.6495487053,44.6179277266,1,59.049,86.559,0.0
117,-93.6117377083,44.6181365162,1,59.0217,86.4427,0.0
118,-93.57392631290001,44.6183327886,1,59.2944,86.5417,0.0
119,-93.5361145438,44.6185165435,1,59.6437,86.6642,0.0
120,-93.4983024256,44.6186877806,1,60.2062,86.7868,0.0
121,-93.4604899829,44.6188464996,1,60.8083,86.7891,0.0
122,-93.4226772404,44.6189927002,1,61.0098,86.7877,0.0
123,-93.3848642226,44.6191263822,1,61.0811,86.7473,0.0
124,-93.3470509542,44.6192475453,1,61.0841,86.5702,0.0
125,-93.3092374598,44.6193561893,1,61.103,86.5331,0.0
126,-93.271423764,44.6194523141,1,61.2219,86.5388,0.0
127,-93.2336098915,44.6195359194,1,61.5166,86.4396,0.0
128,-93.1957958668,44.6196070052,1,61.8289,86.4729,0.0
129,-93.1579817146,44.6196655712,1,62.1477,86.4784,0.0
130,-93.1201674596,44.6197116174,1,62.4196,86.4373,0.0
131,-93.0823531262,44.6197451438,1,62.6119,86.3377,0.0
132,-93.0445387393,44.6197661502,1,62.712,86.1731,0.0
133,-93.0067243233,44.6197746366,1,62.724,85.9441,0.0
